	YEAR	MONTH	DAY	HOUR	MIN	  LAT	LON	P_hail_BC2019	MIN10PCT	MIN19PCT	MIN37PCT	MIN85PCT	FLAG
	2015	02	14	14	09	 -35.00	 151.34	0.952		269.6462	226.7463	152.5101	 75.4323	1
	2015	02	18	13	42	 -15.69	 124.04	0.216		287.2752	271.4809	202.5350	 73.9662	1
	2015	02	20	00	15	 -12.48	 121.35	0.575		274.4374	257.4056	170.0535	 63.9915	1
	2015	02	20	00	16	 -11.69	 121.47	0.226		278.0538	266.6737	213.2465	 94.9694	1
	2015	02	20	13	31	 -16.61	 122.50	0.361		277.3277	266.1267	187.0137	 71.2162	1
	2015	02	21	12	38	 -13.48	 127.84	0.240		280.9771	268.0472	208.0445	 79.5986	1
	2015	02	21	12	39	 -17.16	 125.06	0.860		281.7236	245.0706	154.0699	 58.3442	1
	2015	02	22	00	05	 -14.77	 120.86	0.320		277.5754	266.0357	198.2961	 71.9707	1
	2015	02	23	10	55	 -15.01	 142.43	0.235		294.4224	271.1864	206.7636	 59.0522	1
	2015	02	23	10	57	 -20.16	 145.17	0.275		292.8184	263.2105	201.2824	 98.1228	1
	2015	02	23	10	57	 -20.42	 146.49	0.463		285.2590	258.8751	190.6088	 54.9644	1
	2015	02	25	10	45	 -17.78	 138.05	0.304		293.7060	267.2398	203.1633	 84.6170	1
	2015	02	25	10	45	 -18.39	 137.97	0.305		284.3026	261.9215	207.6211	 98.2715	1
	2015	02	26	09	56	 -29.49	 150.21	0.600		278.4577	242.7254	184.5825	 86.6162	1
	2015	02	26	09	57	 -30.93	 151.21	0.424		271.5309	251.0586	200.7731	126.3289	0
	2015	02	26	11	26	 -18.23	 123.12	0.639		278.2502	255.8887	165.9318	 55.5944	1
	2015	02	26	11	26	 -20.16	 124.28	0.372		305.3175	265.5179	194.8587	 90.6165	1
	2015	02	27	10	33	 -13.91	 131.80	0.538		284.3881	260.6774	167.1810	 67.2589	1
	2015	02	27	10	35	 -19.96	 137.39	0.725		288.5104	252.1785	169.6889	 70.5026	1
	2015	03	01	08	55	 -32.21	 152.16	0.631		269.0180	233.4722	188.4209	100.0479	1
	2015	03	01	10	24	 -15.47	 126.54	0.390		283.2235	263.3194	189.2606	 81.4560	1
